:START_ID(Customer),:END_ID(Order),:TYPE
MG280,93,PLACED
BQ628,92,PLACED
VP414,82,PLACED
MG280,79,PLACED
ND977,78,PLACED
UC728,75,PLACED
PA514,73,PLACED
VP414,72,PLACED
OM558,71,PLACED
IO550,69,PLACED
JA062,66,PLACED
MG280,63,PLACED
UC728,62,PLACED
NA100,61,PLACED
UP707,60,PLACED
BQ628,59,PLACED
PA514,57,PLACED
UP707,56,PLACED
LS391,53,PLACED
LS391,51,PLACED
LS391,48,PLACED
TP634,46,PLACED
TP634,43,PLACED
YN279,41,PLACED
PA514,40,PLACED
EQ332,38,PLACED
NA100,37,PLACED
MG280,35,PLACED
NA100,34,PLACED
AI280,33,PLACED
JA062,32,PLACED
ND977,28,PLACED
ND977,21,PLACED
EQ332,15,PLACED
PA514,12,PLACED
IO550,10,PLACED
AI280,7,PLACED
EQ332,3,PLACED
UC728,2,PLACED
UC728,99,PLACED
LS391,94,PLACED
OM558,91,PLACED
CS808,90,PLACED
MG280,89,PLACED
NA100,87,PLACED
VP414,86,PLACED
UC728,85,PLACED
UP707,81,PLACED
LS391,77,PLACED
BQ628,76,PLACED
EQ332,74,PLACED
TP634,68,PLACED
OM558,67,PLACED
YN279,65,PLACED
LS391,58,PLACED
YN279,52,PLACED
MZ931,49,PLACED
MZ931,47,PLACED
IO550,36,PLACED
LS391,30,PLACED
LS391,27,PLACED
LS391,26,PLACED
TP634,25,PLACED
CS808,24,PLACED
VP414,23,PLACED
TP634,22,PLACED
OM558,20,PLACED
NA100,19,PLACED
JA062,17,PLACED
UC728,13,PLACED
CS808,11,PLACED
VP414,8,PLACED
VP414,6,PLACED
VP414,5,PLACED
EQ332,100,PLACED
NA100,98,PLACED
UC728,97,PLACED
UP707,96,PLACED
MG280,95,PLACED
AI280,88,PLACED
LS391,84,PLACED
ZU899,83,PLACED
BQ628,80,PLACED
LS391,70,PLACED
ZU899,64,PLACED
ND977,55,PLACED
UP707,54,PLACED
LS391,50,PLACED
UP707,45,PLACED
UP707,44,PLACED
JA062,42,PLACED
IO550,39,PLACED
LS391,31,PLACED
LS391,29,PLACED
TP634,18,PLACED
IO550,16,PLACED
VP414,14,PLACED
UC728,9,PLACED
LS391,4,PLACED
ZU899,1,PLACED
